Head,HeadName,SameHeadStartFlag,Programme No.,Programme Name,Sector,2013-14-Actual,"2014-15
(Original)
($m)","2014-15
(Revised)
($m)","2015-16
(Estimate)
($m)"
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,3,Mainland and Taiwan Offices,,204.9,251.6,241.3,257.9
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,4,Rights of the Individual,,19.4,23.2,28.3,24.7
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Equal Opportunities Commission,94.2,101.4,106,105.1
144,Government Secretariat: Constitutional and Mainland Affairs Bureau,0,5,Subvention: Equal Opportunities Commission and Office of the Privacy Commissioner for Personal Data,Office of the Privacy Commissioner for Personal Data,64.6,68.4,73.9,70.5
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),1,1,Director of Bureau's Office,,12.5,12.7,13,13.2
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,2,Revenue and Financial Control,,136.9,136,140.3,143.7
147,Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch),0,3,Service Departments,,57.1,58.6,60.4,61.3
148,Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch),1,1,Financial Services,,231,312.9,235.6,229.8
151,Government Secretariat: Security Bureau,1,1,Director of Bureau's Office,,12.4,12.4,12.6,12.6
151,Government Secretariat: Security Bureau,0,2,Internal Security,,133.3,144.5,144.5,148.8
151,Government Secretariat: Security Bureau,0,3,Immigration Control,,131,168.3,158,194.7
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),1,1,Director of Bureau's Office,,9.9,11.2,11.5,11.9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,2,Commerce and Industry,,152.6,180.4,180.2,244.2
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,3,Subvention: Hong Kong Trade Development Council,,389.5,393.4,393.4,393.4
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,4,"Posts, Competition Policy and Consumer Protection",,19.8,8.8,10.9,9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,5,Subvention: Consumer Council,,91.8,102.9,107.2,108.3
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,6,Travel and Tourism,,158.7,208.2,208.8,238.1
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,7,Subvention: Hong Kong Tourism Board,,570.2,655.7,667.9,747.9
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,8,Public Safety,,0.5,0.5,0.5,0.5
152,Government Secretariat: Commerce and Economic Development Bureau (Commerce Industry and Tourism Branch),0,9,Subvention: Competition Commission,,87.7,83.9,86.4,75.9
155,Government Secretariat: Innovation and Technology Commission,1,1,Support for Research and Development,,66.9,89.4,87,109
155,Government Secretariat: Innovation and Technology Commission,0,2,Fostering University-Industry Collaboration,,7.6,7.2,6.9,6.6
155,Government Secretariat: Innovation and Technology Commission,0,3,Promotion of Technological Entrepreneurship,,6.9,7.2,9,10.4
155,Government Secretariat: Innovation and Technology Commission,0,4,Planning for Innovation and Technology Development,,34.2,39.8,38.7,39.1
155,Government Secretariat: Innovation and Technology Commission,0,5,Infrastructural Support,,12.1,12.3,11.7,12.1
155,Government Secretariat: Innovation and Technology Commission,0,6,Quality Support,,101.4,102.4,108.7,108.7
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Applied Science and Technology Research Institute Company Limited,134.5,141.5,141.5,141.5
155,Government Secretariat: Innovation and Technology Commission,0,7,"Subvention: Hong Kong Productivity Council, Hong Kong Applied Science and Technology Research Institute Company Limited",Hong Kong Productivity Council,187.4,187.4,192.9,192.9
156,Government Secretariat: Education Bureau,1,1,Director of Bureau's Office,,11.4,11.5,11.7,11.7
156,Government Secretariat: Education Bureau,0,2,Primary Education,Government sector,940.2,1018.2,1025.1,1096.4
156,Government Secretariat: Education Bureau,0,2,Primary Education,Subvented sector,12205.6,13235.9,13401.1,14097.1
156,Government Secretariat: Education Bureau,0,3,Secondary Education,Government sector,1396,1451.5,1455.2,1516.9
156,Government Secretariat: Education Bureau,0,3,Secondary Education,Subvented sector,21021.2,21697.7,22302.7,22527.1
156,Government Secretariat: Education Bureau,0,4,Special Education,,1822.5,2035.7,2009.3,2186
156,Government Secretariat: Education Bureau,0,5,Other Educational Services and Subsidies,,3472.1,3799.5,3717,4361.1
156,Government Secretariat: Education Bureau,0,6,Vocational Education,,2081.8,2084.6,2182.1,2228.1
156,Government Secretariat: Education Bureau,0,7,Policy and Support,,6780.7,2034.9,1982.1,3358.3
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),1,1,Director of Bureau's Office,,13.3,12.3,13.5,13.8
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,2,Land and Waterborne Transport,,76.4,79.4,79.2,89
158,Government Secretariat: Transport and Housing Bureau (Transport Branch),0,3,Air and Sea Communications and Logistics Development,,90.3,108.4,106.5,120.5
159,Government Secretariat: Development Bureau (Works Branch),1,1,Water Supply,,10.3,10.6,9.6,10.3
159,Government Secretariat: Development Bureau (Works Branch),0,2,Heritage Conservation,,54.1,54.4,48.4,52.5
159,Government Secretariat: Development Bureau (Works Branch),0,3,"Greening, Landscape and Tree Management",,49.1,46.2,45.1,48.4
159,Government Secretariat: Development Bureau (Works Branch),0,4,Energizing Kowloon East,,27.6,30.9,28.9,31
159,Government Secretariat: Development Bureau (Works Branch),0,5,Intra-Governmental Services,,255.7,305.9,290.4,274.2
160,Radio Television Hong Kong,1,1,Radio,,299.5,323,342.4,347.5
160,Radio Television Hong Kong,0,2,Public Affairs and General Television Programme,,361.5,392.2,372.4,414.3
160,Radio Television Hong Kong,0,3,School Education Television Programme,,30.9,30.7,30.8,31.8
160,Radio Television Hong Kong,0,4,New Media,,31.3,38.6,32.7,29.5
162,Rating and Valuation Department,1,1,Statutory Valuation and Assessments,,299.3,315.2,310.6,326.2
162,Rating and Valuation Department,0,2,Collection and Billing of Rates and Government Rent,,55.2,57.2,60.7,63.2
162,Rating and Valuation Department,0,3,Provision of Valuation and Property Information Services,,78.4,78.2,81.5,82.4
162,Rating and Valuation Department,0,4,Landlord and Tenant Services,,26.9,28.7,29.8,30.1
163,Registration and Electoral Office,1,1,Electoral Services,,81.8,268.3,185.7,743.8
166,Government Flying Service,1,1,Government Flying Service,,312.2,367.3,360.5,583.3
168,Hong Kong Observatory,1,1,Weather Services,,209.5,222.7,229.9,236.9
168,Hong Kong Observatory,0,2,Radiation Monitoring and Assessment,,25.6,26.1,27.2,27.2
168,Hong Kong Observatory,0,3,Time Standard and Geophysical Services,,10.7,11,11.4,11.4
169,Secretariat- Commissioner on Interception of Communications and Surveillance,1,1,Compliance with Interception and Surveillance Legislation,,16.9,18.4,18.7,21.5
170,Social Welfare Department,1,1,Family and Child Welfare,Government sector,933.6,960,992.8,1039.5
170,Social Welfare Department,1,1,Family and Child Welfare,Subvented sector,1268.7,1382.8,1434.5,1589.2
170,Social Welfare Department,0,2,Social Security,Government sector,39363.3,40179.7,40564.3,41130.6
170,Social Welfare Department,0,2,Social Security,Subvented sector,0.5,0.6,0.6,0.6
170,Social Welfare Department,0,3,Services for The Elderly,Government sector,195.5,211.9,201.8,214.2
170,Social Welfare Department,0,3,Services for The Elderly,Subvented/private sectors,5085.9,5866.7,5782.3,6452.2
